# RTF-Densities and RTF-fields
#     r     Pf_p     Pf_n     rhov_p     rhov_n     Sigma     Omega     Rho     Coulomb     Ef_p     Ef_n
    0.11600E+01    0.22704E+03    0.23735E+03    0.51443E-01    0.58775E-01    0.26672E+00    0.21860E+00   -0.19163E-02    0.23637E-02   -0.10312E-01   -0.54720E-02
    0.11700E+01    0.22683E+03    0.23716E+03    0.51301E-01    0.58630E-01    0.26600E+00    0.21800E+00   -0.19151E-02    0.23598E-02   -0.10312E-01   -0.54724E-02
    0.11800E+01    0.22662E+03    0.23696E+03    0.51159E-01    0.58483E-01    0.26528E+00    0.21738E+00   -0.19140E-02    0.23560E-02   -0.10312E-01   -0.54727E-02
    0.11900E+01    0.22641E+03    0.23676E+03    0.51015E-01    0.58335E-01    0.26455E+00    0.21676E+00   -0.19128E-02    0.23521E-02   -0.10312E-01   -0.54731E-02
    0.12000E+01    0.22620E+03    0.23656E+03    0.50869E-01    0.58185E-01    0.26382E+00    0.21613E+00   -0.19117E-02    0.23482E-02   -0.10312E-01   -0.54734E-02
    0.12100E+01    0.22598E+03    0.23635E+03    0.50722E-01    0.58034E-01    0.26307E+00    0.21550E+00   -0.19105E-02    0.23442E-02   -0.10312E-01   -0.54737E-02
    0.12200E+01    0.22576E+03    0.23615E+03    0.50574E-01    0.57881E-01    0.26232E+00    0.21486E+00   -0.19093E-02    0.23403E-02   -0.10312E-01   -0.54741E-02
    0.12300E+01    0.22553E+03    0.23594E+03    0.50424E-01    0.57727E-01    0.26157E+00    0.21422E+00   -0.19081E-02    0.23363E-02   -0.10312E-01   -0.54744E-02
    0.12400E+01    0.22531E+03    0.23572E+03    0.50273E-01    0.57571E-01    0.26080E+00    0.21357E+00   -0.19069E-02    0.23323E-02   -0.10312E-01   -0.54747E-02
    0.12500E+01    0.22508E+03    0.23551E+03    0.50120E-01    0.57414E-01    0.26003E+00    0.21291E+00   -0.19056E-02    0.23282E-02   -0.10312E-01   -0.54750E-02
    0.12600E+01    0.22485E+03    0.23529E+03    0.49965E-01    0.57255E-01    0.25925E+00    0.21225E+00   -0.19044E-02    0.23241E-02   -0.10312E-01   -0.54754E-02
    0.12700E+01    0.22461E+03    0.23507E+03    0.49809E-01    0.57095E-01    0.25847E+00    0.21158E+00   -0.19031E-02    0.23200E-02   -0.10312E-01   -0.54757E-02
    0.12800E+01    0.22438E+03    0.23485E+03    0.49652E-01    0.56933E-01    0.25768E+00    0.21090E+00   -0.19019E-02    0.23159E-02   -0.10313E-01   -0.54761E-02
    0.12900E+01    0.22414E+03    0.23462E+03    0.49493E-01    0.56770E-01    0.25688E+00    0.21022E+00   -0.19006E-02    0.23118E-02   -0.10313E-01   -0.54765E-02
    0.13000E+01    0.22390E+03    0.23440E+03    0.49333E-01    0.56605E-01    0.25607E+00    0.20954E+00   -0.18993E-02    0.23076E-02   -0.10313E-01   -0.54768E-02
    0.13100E+01    0.22365E+03    0.23417E+03    0.49171E-01    0.56438E-01    0.25526E+00    0.20884E+00   -0.18980E-02    0.23034E-02   -0.10313E-01   -0.54772E-02
    0.13200E+01    0.22340E+03    0.23393E+03    0.49007E-01    0.56270E-01    0.25444E+00    0.20815E+00   -0.18967E-02    0.22992E-02   -0.10313E-01   -0.54776E-02
    0.13300E+01    0.22315E+03    0.23370E+03    0.48842E-01    0.56101E-01    0.25362E+00    0.20744E+00   -0.18954E-02    0.22949E-02   -0.10313E-01   -0.54780E-02
    0.13400E+01    0.22290E+03    0.23346E+03    0.48676E-01    0.55930E-01    0.25278E+00    0.20673E+00   -0.18940E-02    0.22907E-02   -0.10313E-01   -0.54784E-02
    0.13500E+01    0.22264E+03    0.23322E+03    0.48508E-01    0.55757E-01    0.25194E+00    0.20601E+00   -0.18927E-02    0.22864E-02   -0.10313E-01   -0.54789E-02
    0.13600E+01    0.22238E+03    0.23298E+03    0.48338E-01    0.55582E-01    0.25110E+00    0.20529E+00   -0.18913E-02    0.22821E-02   -0.10313E-01   -0.54793E-02
    0.13700E+01    0.22212E+03    0.23273E+03    0.48167E-01    0.55407E-01    0.25024E+00    0.20456E+00   -0.18899E-02    0.22777E-02   -0.10314E-01   -0.54797E-02
    0.13800E+01    0.22185E+03    0.23248E+03    0.47995E-01    0.55229E-01    0.24938E+00    0.20383E+00   -0.18885E-02    0.22733E-02   -0.10314E-01   -0.54802E-02
    0.13900E+01    0.22158E+03    0.23223E+03    0.47821E-01    0.55050E-01    0.24851E+00    0.20309E+00   -0.18871E-02    0.22690E-02   -0.10314E-01   -0.54806E-02
    0.14000E+01    0.22131E+03    0.23198E+03    0.47645E-01    0.54869E-01    0.24764E+00    0.20234E+00   -0.18857E-02    0.22645E-02   -0.10314E-01   -0.54810E-02
    0.14100E+01    0.22104E+03    0.23172E+03    0.47468E-01    0.54687E-01    0.24676E+00    0.20159E+00   -0.18842E-02    0.22601E-02   -0.10314E-01   -0.54815E-02
    0.14200E+01    0.22076E+03    0.23146E+03    0.47289E-01    0.54503E-01    0.24587E+00    0.20083E+00   -0.18828E-02    0.22557E-02   -0.10314E-01   -0.54819E-02
    0.14300E+01    0.22048E+03    0.23120E+03    0.47108E-01    0.54318E-01    0.24497E+00    0.20006E+00   -0.18813E-02    0.22512E-02   -0.10314E-01   -0.54823E-02
    0.14400E+01    0.22019E+03    0.23093E+03    0.46927E-01    0.54131E-01    0.24407E+00    0.19929E+00   -0.18799E-02    0.22467E-02   -0.10314E-01   -0.54828E-02
    0.14500E+01    0.21991E+03    0.23066E+03    0.46743E-01    0.53942E-01    0.24316E+00    0.19851E+00   -0.18784E-02    0.22421E-02   -0.10315E-01   -0.54832E-02
    0.14600E+01    0.21962E+03    0.23039E+03    0.46558E-01    0.53752E-01    0.24224E+00    0.19773E+00   -0.18769E-02    0.22376E-02   -0.10315E-01   -0.54836E-02
    0.14700E+01    0.21932E+03    0.23012E+03    0.46371E-01    0.53560E-01    0.24132E+00    0.19694E+00   -0.18753E-02    0.22330E-02   -0.10315E-01   -0.54841E-02
